"",,,,Pág: 1
"",,,LOURENCO E SILVA LTDA,
"",,,CNPJ : 07626439000173 IE : 152496416,
"",,,9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"",,,"paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",,,CENTRO,
"",,,01/10/2025 07:40:32,
"",,,Lista de preços,
Tabela Preço : PADRÃO,,,Tipo de Saldo : Geral,
Descrição,,Ncm,No. Fabricante Fabricante Emp UN Estoque,Vlr. Venda
56004 - 11159-C33 - TORNEIRA COZINHA,,84818011,"9937586 MARCHEZAN 1 UN 3,00","80,89"
PAREDE VEDACAO PRESS,,,,
56045 - 1168 F61 PR TORN COZ PAR FITT,,84818019,"LORENZETTI 1 UN -3,00","64,19"
CX/0004,,,,
56044 - 1195 F61 PR TORN LAVAT BA FITT,,84818019,"LORENZETTI 1 UN 1,00","64,19"
CX/0004,,,,
56006 - 1416 1/2-C33 - REGISTRO PRESSAO,,84818095,"MARCHEZAN 1 UN 3,00","51,68"
VEDANTE DN15,,,,
56007 - 1509 3/4-C33 (SACO PLASTICO) -,,84818093,"MARCHEZAN 1 UN -7,00","85,11"
REGISTRO GAVETA LUXO DN20,,,,
56005 - 16046 - MECANISMO-VED.P/ TORN. PIST.,,84818011,"150015 MARCHEZAN 1 UN 0,00","29,26"
AMARELO,,,,
56001 - 16048 - MECANISMO-VED.P/ REG. 1416,,84818011,"150002 MARCHEZAN 1 UN 7,00","28,22"
PIST. AMARELO,,,,
56000 - 16049 - MECANISMO-MVS.P/ REG. 1414,,84818011,"150004 MARCHEZAN 1 UN 11,00","30,39"
PIST. AMARELO,,,,
56306 - 16149 - MECANISMO-MVS.P/ REG.1414,,84818011,"MARCHEZAN 1 UN 16,00","32,60"
PIST. CROMADO,,,,
56150 - 1654 CRUZETA C33 CROM.,,84818019,"11985 AGUIA 1 UN 5,00","18,37"
56003 - 33318 - DUCHA FRIA ARTICULADO 70MM,,84818019,"9941114 MARCHEZAN 1 UN 3,00","88,46"
ATENAS,,,,
55997 - 4790-C80 - TORNEIRA LAVATORIO,,84818011,"9934838 MARCHEZAN 1 UN 5,00","95,47"
BANCADA 90° BICA MO,,,,
55998 - 4795-C80 - TORNEIRA COZINHA,,84818011,"MARCHEZAN 1 UN 1,00","88,50"
BANCADA 90° BICA MOVEL VEDACAO NAO,,,,
COMPRESSIVEL 1/4 VOLTA,,,,
56002 - 6000 - KIT ACESSORIOS P/ BANHEIRO,,76152000,"38412 MARCHEZAN 1 UN 0,00","192,99"
ENCANTO,,,,
55999 - 9499 -C80 - TORN. COZINHA BANCADA,,84818011,"9937490 MARCHEZAN 1 UN 4,00","112,91"
GOURMET DUPLA F,,,,
27049 - ABAFADOR AUDIT PLUG SILIC - KALIPSO,,82055900,"920646 NOVA DISTR 1 UN 81,81","1,83"
53238 - ABAFADOR AUDITIVA - DELTAPLUS,,40159000,"190401 NOVA DISTR 1 UN -6,00","13,93"
55745 - ABRACAD INOX 13-19MM C/BORBOLETA,,73269090,"022273 TAMBASA AT 1 UN 26,00","3,04"
50661 - ABRACAD. ACO LAMP FLU 20/40/110 T8,,73269090,"180130 TAMBASA AT 1 UN 79,00","2,31"
"56588 - ABRACADEIRA (3/4"") (VERDE) 4G/5G",,84139190,"50200 ANAUGER 1 UN 9,00","12,10"
37508 - ABRACADEIRA ARGOLA 83-10 INCA,,73269090,"CENTER MAT 1 UN 9,00","5,93"
55706 - ABRACADEIRA BORBOLETA 19X27,,73269090,"0515.019.027 LOTUS 1 UN -52,00","4,58"
39993 - ABRACADEIRA CABIDEIRA GRANDE,,73269090,"CENTER MAT 1 UN 2,00","0,64"
40002 - ABRACADEIRA CABIDEIRA PEQUENA,,73269090,"CENTER MAT 1 UN 53,00","0,51"
40231 - ABRACADEIRA COLORIDA 10CM,,39269090,"57440/928 TRAMONTINA 1 UN 0,00","0,08"
40240 - ABRACADEIRA COLORIDA 15CM,,39269090,"57440/915 TRAMONTINA 1 UN -16,00","0,28"
"53462 - ABRACADEIRA COLORIDA 9,5CM",,39269090,"57440/909 TRAMONTINA 1 UN 0,00","0,32"
54316 - ABRACADEIRA INOX BORBOLETA 13-23,,73269090,"3710 LOTUS 1 UN -101,00","2,86"
54315 - ABRACADEIRA INOX BORBOLETA 14-27,,73269090,"3711 LOTUS 1 UN 234,00","2,98"
54314 - ABRACADEIRA INOX BORBOLETA 18-32,,73269090,"3712 LOTUS 1 UN 172,00","3,04"
55181 - ABRACADEIRA MANGOTE 1.1/2¿,,73269090,"45403 NEGRAO 1 UN 10,00","20,00"
48X56MM,,,,
55182 - ABRACADEIRA MANGOTE 1.1/4¿,,73269090,"45411 NEGRAO 1 UN 10,00","18,96"
39X47MM,,,,
"56246 - ABRACADEIRA NYLON 12,5X600MM",,39269090,"4202194 FOXLUX 1 CD 0,00","2,07"
"53434 - ABRACADEIRA NYLON 2,5X100MM",,39269090,"422851 FOXLUX 1 UN 0,00","0,11"
"54919 - ABRACADEIRA NYLON 2,5X120MM",,39269090,"149160 FOXLUX 1 UN 0,00","0,36"
"53435 - ABRACADEIRA NYLON 2,5X140MM",,39269090,"37185 FOXLUX 1 UN 0,00","0,33"
"53436 - ABRACADEIRA NYLON 2,5X150MM",,39269090,"422657 FOXLUX 1 UN 0,00","0,12"
"54921 - ABRACADEIRA NYLON 2,5X80MM",,39269090,"149454 FOXLUX 1 UN 0,00","0,19"
"55453 - ABRACADEIRA NYLON 3,5X200MM",,39269090,"4201864 FOXLUX 1 UN -4,00","0,29"
Usuário CLAUDIO FILHO,,,1 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 2
29521 - CURVA ESGOTO 90 CURTA 75MM,"39174090 34688 PLASTUBOS 1 UN 13,00","20,20"
55966 - CURVA FEMEA LONGA GALV 45 2.1/2,"73051200 NEGRAO 1 UN 0,00","0,00"
5290 - CURVA FEMEA LONGA GALV 90 1.1/2,"73065000 NEGRAO 1 UN 6,00","15,95"
19933 - CURVA FEMEA LONGA GALV 90 1.1/4,"73051200 NEGRAO 1 UN 0,00","12,91"
53802 - CURVA FEMEA LONGA GALV 90 1/2,"85366910 07314154 NEGRAO 1 UN 0,00","8,26"
6211 - CURVA FEMEA LONGA GALV 90 2,"85365090 NEGRAO 1 UN 0,00","38,74"
54692 - CURVA FEMEA LONGA GALV 90 3/4,"85366910 07314154 NEGRAO 1 UN 0,00","6,32"
"53988 - CURVA GALVANIZADA M/F 1,1/2","39174090 TUPY 1 UN 0,00","18,38"
6262 - CURVA GALVANIZADA M/F 3/4,"85365090 NAMBEI 1 UN 0,00","5,59"
54693 - CURVA GALVONIZADA MACHO/FEMEA 1,"85365090 NEGRAO 1 UN 0,00","7,79"
54695 - CURVA GALVONIZADA MACHO/FEMEA,"85389090 NEGRAO 1 UN 0,00","3,82"
1/2,,
38547 - CURVA GALVONIZADA MACHO/FEMEA,"85389090 NEGRAO 1 UN 0,00","14,85"
1X1/2,,
54694 - CURVA GALVONIZADA MACHO/FEMEA 2,"85365090 NEGRAO 1 UN 0,00","28,14"
Usuário CLAUDIO FILHO,54 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 55
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
21105 - CURVA GALVONIZADA MACHO/FEMEA,"85365090 NEGRAO 1 UN 0,00","8,05"
3/4,,
26620 - CURVA LONGA 90 100/110MM,"69089000 CORRPLASTI 1 MT 0,00","20,95"
52962 - CURVA LONGA 90 100MM OCRE,"39174090 65766 TIGRE 1 UN 0,00","80,04"
52963 - CURVA LONGA 90 150MM OCRE,"39174090 0309970032 CORRPLASTI 1 UN 0,00","84,72"
52964 - CURVA LONGA 90 200MM OCRE,"39174090 0309970215 CORRPLASTI 1 UN 0,00","171,76"
52965 - CURVA LONGA 90 250MM OCRE,"39174090 CORRPLASTI 1 UN 0,00","305,80"
52966 - CURVA LONGA 90 300MM OCRE,"39174090 CORRPLASTI 1 UN 0,00","464,40"
51329 - CURVA LONGA 90 50/60MM,"69089000 CORRPLASTI 1 UN 0,00","20,31"
18643 - CURVA LONGA 90 75/85MM,"69089000 CORRPLASTI 1 MT 0,00","20,31"
4316 - CURVA LONGA ESGOTO 100MM,"39174090 0636 KRONA 1 UN 6,00","71,04"
53356 - CURVA LONGA ESGOTO 150MM,"39174090 0637 KRONA 1 UN 2,00","89,68"
4340 - CURVA LONGA ESGOTO 40MM,"39174090 0633 FORTLEV 1 UN 6,00","13,95"
4332 - CURVA LONGA ESGOTO 50MM,"39174090 0634 KRONA 1 UN 12,00","18,28"
38130 - CURVA LONGA ESGOTO 75MM,"39174090 PROVINIL 1 UN -1,00","6,94"
54575 - CURVA LONGA F 90 GALVANIZADO 1.1/4,"73063000 TUPY 1 UN 0,00","32,58"
54576 - CURVA LONGA F 90 GALVANIZADO 1/2,"73063000 TUPY 1 UN 0,00","7,67"
54577 - CURVA LONGA F 90 GALVANIZADO 3/4,"73063000 TUPY 1 UN 0,00","12,69"
54584 - CURVA LONGA M 90 GALVANIZADO 1,"73063000 TUPY 1 UN 0,00","24,01"
54583 - CURVA LONGA M 90 GALVANIZADO 1.1/4,"73063000 TUPY 1 UN 0,00","38,41"
54582 - CURVA LONGA M 90 GALVANIZADO 1/2,"73063000 TUPY 1 UN 0,00","5,66"
54581 - CURVA LONGA M 90 GALVANIZADO 3/4,"73063000 TUPY 1 UN 0,00","9,60"
54578 - CURVA M/F 90 GALVANIZADO 1,"73063000 TUPY 1 UN 0,00","15,64"
54579 - CURVA M/F 90 GALVANIZADO 1/2,"73063000 TUPY 1 UN 0,00","7,67"
54580 - CURVA M/F 90 GALVANIZADO 2,"73063000 TUPY 1 UN 0,00","56,49"
52105 - CURVA MACHO LONGA GALV 1,"84819010 00162660 TUPY 1 UN 0,00","37,91"
17418 - CURVA MACHO LONGA GALV 1.1/2,"85365090 305 NEGRAO 1 UN 0,00","22,91"
54696 - CURVA MACHO LONGA GALV 1.1/4,"85365090 305 NEGRAO 1 UN 0,00","19,13"
54697 - CURVA MACHO LONGA GALV 1/2,"85365090 305 NEGRAO 1 UN 0,00","2,82"
6220 - CURVA MACHO LONGA GALV 2,"85365090 NEGRAO 1 UN 0,00","26,35"
54698 - CURVA MACHO LONGA GALV 3/4,"85365090 30 NEGRAO 1 UN 0,00","4,78"
52909 - CURVA PBA 90 DN 100/110,"39174090 0309950026 CORRPLASTI 1 UN 0,00","110,75"
51557 - CURVA PVC JE PB 45DE 60MM PBA,"39174090 TIGRE 1 UN 0,00","19,38"
"56589 - CURVA SUPORTE (3/4"") (VERDE) 4G/5G","84139190 50820 ANAUGER 1 UN 7,00","12,75"
52011 - CURVA UNIAO BOX 1.1/2 P/CX PADRAO,"39174090 7441 PLASTIMAX 1 UN -13,00","36,37"
53893 - CYPERMIL POUR ON 1L OUROFINO,"38089192 15189 ORMEL 1 UN 10,00","34,53"
54894 - CYPERMIL POUR ON 2000ML,"38089192 012746 NEGRAO 1 UN 28,00","83,52"
54855 - DECAPADOR DE CABOS UNIVERSAL W-,"82032010 0715831002 WURTH 1 UN 3,00","86,51"
MAX,,
52764 - DECTOMAX PFIZER FRASCO 200ML,"72171090 293 ORMEL 1 UN 1,00","112,07"
56040 - DEMARCACAO VERMELHO,"32082019 015684 VELOZ 1 UN 0,00","919,01"
SEGURANCA 5R4/14  18LT,,
55053 - DES.ABOVE AER.MEN T.BOY 150ML,"33072010 206098 MARTINS 1 UN 2,00","9,05"
51648 - DESCARBONIZANTE 2000 - ORBI,"29031200 2100411 MARTINS 1 UN 7,00","14,98"
56568 - DESEMP ACO DENT 38X12 CB PLAST,"82055900 64608 CONDOR 1 UN 12,00","29,50"
FECH,,
56569 - DESEMP ACO DENT 48X12 CB PLAST,"82055900 64515 CONDOR 1 UN 12,00","35,53"
FECH,,
56570 - DESEMP ACO LISA 38X12 CB PLAST,"82055900 64607 CONDOR 1 UN 11,00","29,50"
FECH,,
56571 - DESEMP ACO LISA 48X12 CB PLAST,"82055900 64518 CONDOR 1 UN 12,00","34,18"
FECH,,
54931 - DESEMP AJUST ACO DENT 35X12CM,"82055900 120462 NOVA DISTR 1 UN 3,00","70,26"
Usuário CLAUDIO FILHO,55 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 56
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
56077 - DESEMP PVC 14X26CM FRISADA CB,"39269090 32611 NOVA CASA 1 UN 44,00","15,28"
VERM SENIO,,
56078 - DESEMP PVC 14X26CM LISA CB VERM,"39269090 32612 CASA NOVA 1 UN 42,00","15,28"
SENIORS,,
56370 - DESEMP PVC 22X34CM FRISADA CB,"39269090 32617 NOVA CASA 1 UN 19,00","23,98"
VERM SENIO,,
51940 - DESEMP PVC P/ GRAFIATO 17X30 CM,"39269090 416017 TAMBASA AT 1 PC 13,00","13,16"
54729 - DESEMP. ACO LISA 12X48CM,"82055900 2767 CORTAG 1 PC 0,00","31,41"
51074 - DESEMP. LISA MADEIRA 17X27,"44170090 4520 MARTINS 1 UN -23,00","30,75"
MOMFORT,,
"54441 - DESEMP. LISA MADEIRA 7,5X12","44170010 086213 TAMBASA AT 1 DZ 4,00","23,02"
MOMFORT,,
55663 - DESEMPENAD. PLAST 15X26 C/ESPUMA,"39259090 5050.176.006 NEGRAO 1 UN 2,00","16,42"
23485 - DESEMPENADEIRA ACO DENT 12X28CM,"82055900 5751 LOTUS 1 UN 0,00","23,99"
49158 - DESEMPENADEIRA ACO DENT 12X29,"82055900 085463 TAMBASA AT 1 UN -1,00","57,62"
GALO,,
18694 - DESEMPENADEIRA ACO DENT. 12X40,"82055900 079304 TAMBASA AT 1 UN 4,00","82,69"
GALO,,
701 - DESEMPENADEIRA ACO DENTADO 38CM,"82055900 61295 CORTAG 1 UN 2,00","19,15"
55214 - DESEMPENADEIRA ACO LISA 12X29 HD,"82055900 085463 ARMARINHO 1 UN 26,00","45,94"
53729 - DESEMPENADEIRA ACO LISO 12X24,"82055900 005699 MARTINS 1 UN 7,00","19,40"
MOMFO,,
51497 - DESEMPENADEIRA ACO LISO 12X28,"82055900 5750 LOTUS 1 UN 0,00","22,25"
14664 - DESEMPENADEIRA ACO LISO 12X40,"82055900 079305 TAMBASA AT 1 UN 0,00","82,69"
GALO,,
50836 - DESEMPENADEIRA LISA 17X30CM AZUL,"39269090 DSP2/L TAMBASA AT 1 UN 2,00","22,73"
50834 - DESEMPENADEIRA RASPADEIRA ATLAS,"82055900 AT115 ATLAS 1 UN 4,00","33,18"
54185 - DESENGRIPANTE WD-40 300ML,"34031900 6000.300.000 MARTINS 1 UN 2,00","51,00"
40142 - DESENTUPIDOR MANUAL TUFAO 05MT,"82055900 11328 MARTINS 1 UN 1,00","58,07"
51099 - DESENTUPIDOR MANUAL TUFAO 10MT,"82055900 026246 TAMBASA AT 1 UN 11,00","116,26"
36480 - DESENTUPIDOR MANUAL TUFAO 15MT,"82055900 11330 TAMBASA AT 1 UN 6,00","214,34"
50962 - DESENTUPIDOR VASO SANITARIO,"39249000 4000.044.000 NEGRAO 1 UN 1,00","10,51"
54819 - DESINFETANTE LYSOFORM BRUTO,"38089419 1702105 MARTINS 1 UN 3,00","11,40"
500ML,,
55157 - DESINFETANTE PINHO SOL 1 LT,"38089419 1713720 MARTINS 1 UN 12,00","16,26"
54639 - DESMOLDANTE CONCENTRADO 18L,"27101932 019953 TAMBASA AT 1 BD 1,00","331,94"
"54685 - DETER.PO OMO 1,6KG","34025000 1702655 MARTINS 1 UN 9,00","28,14"
54510 - DETER.PO OMO LAV.800G,"34025000 1702435 MARTINS 1 UN 41,00","15,90"
54495 - DIESEL TANK PROTECTOR TANQUE,"85311090 08961001 WURTH 1 UN 4,00","334,54"
41874 - DIFERENCA DE PRODUTOS,"73182200 DIFERENCA 1 UN -118,00","10,27"
56038 - DILUENTE B-52 05LT,"38140010 001258 VELOZ 1 UN 0,00","211,77"
990 - DILUENTE B-52 5LT,"38140010 001258 VELOZ 1 UN 0,00","193,92"
16128 - DIMER FD31 ANALOGICO ROT.BIVOLT,"85365090 FLC 1 UN -15,00","26,96"
FLC,,
53890 - DISCO CORTE 4',"68042211 866 MARTINS 1 UN 85,00","5,16"
53775 - DISCO CORTE 7',"68042211 37950 MARTINS 1 UN 13,00","8,95"
"40134 - DISCO DE BORRACHA 4,5¿ - MAX","40069000 38560 TAMBASA AT 1 UN 11,00","15,78"
32590 - DISCO DE BORRACHA 7- MAX,"40069000 38562 TAMBASA AT 1 UN 8,00","38,52"
56168 - DISCO DESBAST 4.1/2 DIAM.PEDRA MTX,"68042119 086735 ARMARINHO 1 UN 5,00","84,22"
54511 - DISCO DESBAST 4.1/2X1/4X7/8 WORKER,"68042211 445738 WORKER 1 UN -4,00","8,84"
54997 - DISCO DESBASTE 180X6;4X22;23,"68042211 152870 CARBORUNDU 1 UN 5,00","15,72"
CARBO,,
37605 - DISCO DESBASTE 7X1/4X7/8,"68042211 055510 ARMARINHO 1 UN -10,00","15,60"
56130 - DISCO DIAM TURBO HEAVY DUTY,"68042119 21781 NOVA DISTR 1 UN 9,00","17,32"
110MM PC-1-PC,,
56447 - DISCO DIAMANTADO 110X7X22.23MM,"68042119 DD2002 ORCA DISTR 1 UN 11,00","19,69"
SEGMENT - GALAXIA,,
Usuário CLAUDIO FILHO,56 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 57
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
56446 - DISCO DIAMANTADO 110X7X22.23MM,"68042119 DD2001 ORCA DISTR 1 UN 20,00","19,69"
TURBO - GALAXIA,,
56449 - DISCO DIAMANTADO 110X8X22.23MM,"68042119 DD11041 ORCA DISTR 1 UN -5,00","28,25"
TURB/PORC - PARAMAX,,
56445 - DISCO DIAMANTADO 110X8X22.23MM,"68042119 DD1100 ORCA DISTR 1 UN 5,00","16,17"
TURBO - PARAMAX,,
"56448 - DISCO DIAMANTADO 180X10X25,4MM","68042119 DD1111 ORCA DISTR 1 UN 3,00","44,76"
SEGMENT - GALAXIA,,
56314 - DISCO DIAMANTADO ASF/CONC -,"68042119 055395 ARMARINHO 1 UN 3,00","407,51"
NORTON,,
51117 - DISCO DIAMANTADO CONTINUO,"68042119 IW13891 IRWIN 1 UN 34,00","29,18"
21784 - DISCO DIAMANTADO CONTINUO -,"68042119 28932 NEGRAO 1 UN 12,00","13,40"
REFORC,,
51003 - DISCO DIAMANTADO IRWIN,"68042119 IW2145 IRWIN 1 UN -33,00","27,33"
SEGMENTAD 2X,,
51002 - DISCO DIAMANTADO IRWIN TURBO,"68042119 1778735 IRWIN 1 UN -3,00","35,63"
PORCEL,,
56473 - DISCO DIAMANTADO,"68042190 34,0009 NEGRAO 1 UN 9,00","22,77"
P/ESMERILHADEIRA TURBO,,
37613 - DISCO DIAMANTADO PORCELANATO,"68042119 505848 BOSCH 1 UN -6,00","33,49"
55221 - DISCO DIAMANTADO PORCELANATO,"68042119 496189 KALA 1 UN 26,00","47,60"
KALA,,
55213 - DISCO DIAMANTADO PORCELANATO,"68042119 110349 NORTON 1 UN -20,00","31,59"
NORTON,,
39918 - DISCO DIAMANTADO PORCELANATO-,"68042119 2060.005.004 ARMARINHO 1 UN 2,00","25,00"
MELFI,,
52785 - DISCO DIAMANTADO SEGMENTADO,"68042119 IW13892 IRWIN 1 UN 12,00","24,47"
56474 - DISCO DIAMANTADO SEGMENTADO -,"68042190 685,0002 NOVA CASA 1 UN 44,00","17,07"
GRAFF VANTAGE,,
44598 - DISCO DIAMANTADO SEGMENTADO -,"68042119 28931 CORTAG 1 UN 0,00","13,31"
REFOC,,
56135 - DISCO DIAMANTADO SEGMENTADO,"68042119 7951 ARMARINHO 1 UN 29,00","16,49"
110MM CBS (1),,
24562 - DISCO DIAMANTADO SEGMENTADO 7 -,"68042119 085763 ARMARINHO 1 UN -15,00","49,15"
THO,,
52787 - DISCO DIAMANTADO SUPER TURBO 2X,"68042119 1938626 IRWIN 1 UN -5,00","30,29"
22420 - DISCO DIAMANTADO TURBO,"68042119 3701 LOTUS 1 UN 0,00","21,71"
22659 - DISCO DIAMANTADO TURBO,"68042119 IW13893 IRWIN 1 UN 24,00","24,71"
56475 - DISCO DIAMANTADO TURBO - GRAFF,"68042190 685,0001 NOVA CASA 1 UN 46,00","17,07"
VANTAGE,,
12009 - DISCO DIAMANTADO TURBO - MAKITA,"68042119 62819 TAMBASA AT 1 UN 0,00","26,83"
55673 - DISCO DIAMANTADO TURBO - MELFI,"68042119 2060.005.001 NEGRAO 1 UN 0,00","13,57"
55788 - DISCO DIAMANTADO TURBO 7 -,"68042119 TAMBASA AT 1 UN 1,00","58,80"
FAMASTIL,,
24171 - DISCO DIAMANTADO TURBO ECO,"68042119 086726 CORTAG 1 UN 15,00","41,39"
110MM,,
53416 - DISCO FLAP G120,"68053090 408184 TAMBASA AT 1 UN 20,00","10,13"
53496 - DISCO FLAP G120 7,"68053090 075075 TAMBASA AT 1 UN 0,00","29,93"
55678 - DISCO FLAP G40,"68053020 086799 ARMARINHO 1 UN -1,00","6,85"
55679 - DISCO FLAP G60,"68053020 086800 ARMARINHO 1 UN -2,00","6,85"
55680 - DISCO FLAP G80,"68053020 086822 ARMARINHO 1 UN 24,00","10,70"
53495 - DISCO FLAP N60 7,"68053090 000000069957320 NORTON 1 UN 0,00","29,93"
56313 - DISCO LIXA DIAMAN 100MM G 100,"68042190 122715 ARMARINHO 1 UN 0,00","29,57"
STAMACO,,
56312 - DISCO LIXA DIAMAN 100MM G 200,"68042190 122714 ARMARINHO 1 UN -2,00","29,70"
STAMACO,,
54596 - DISCO LIXA FERRO N100 4.1/2,"68053020 000000005539503 NORTON 1 UN 12,00","4,06"
53978 - DISCO LIXA FERRO N100 7¿,"68053020 000000005539503 NOVA DISTR 1 UN 100,00","6,90"
51089 - DISCO LIXA FERRO N24 4.1/2¿ - 3M,"68053020 000000005539502 NORTON 1 UN 130,00","5,07"
51090 - DISCO LIXA FERRO N24 7,"68053020 153338 NORTON 1 UN 40,00","14,16"
20818 - DISCO LIXA FERRO N36 4.1/2 NORTON,"68053020 000000066261199 NORTON 1 UN 31,00","4,92"
Usuário CLAUDIO FILHO,57 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 58
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
51091 - DISCO LIXA FERRO N36 7,"68053020 000000066261037 TAMBASA AT 1 UN 92,00","7,56"
25160 - DISCO LIXA FERRO N50 4.1/2¿ - 3M,"68053020 53035 NEGRAO 1 UN 96,00","6,96"
51092 - DISCO LIXA FERRO N50 7- 3M,"68053020 000000066261040 NORTON 1 UN 126,00","7,70"
20826 - DISCO LIXA FERRO N60 4.1/2¿ - 3M,"68053020 000000005539503 NORTON 1 UN 109,00","6,57"
51093 - DISCO LIXA FERRO N60 7,"68053020 000000066261037 NORTON 1 UN 43,00","11,79"
26255 - DISCO LIXA FERRO N80 4.1/2¿ - 3M,"68053020 000000066261199 NORTON 1 UN 30,00","5,95"
20834 - DISCO LIXA FERRO N80 7¿,"68053020 000000005539503 NORTON 1 UN 40,00","6,69"
55496 - DISCO LIXA LIXADEIRA 040 MAKITA,"68052000 086168 ARMARINHO 1 UN -48,00","4,89"
55497 - DISCO LIXA LIXADEIRA 060 MAKITA,"68052000 086170 ARMARINHO 1 UN -23,00","4,89"
55498 - DISCO LIXA LIXADEIRA 080 MAKITA,"68052000 086171 ARMARINHO 1 UN -34,00","4,89"
55499 - DISCO LIXA LIXADEIRA 120 MAKITA,"68052000 086177 ARMARINHO 1 UN -22,00","4,89"
55500 - DISCO LIXA LIXADEIRA 150 MAKITA,"68052000 086178 ARMARINHO 1 UN -40,00","4,89"
55501 - DISCO LIXA LIXADEIRA 180 MAKITA,"68052000 086180 ARMARINHO 1 UN -34,00","4,89"
55502 - DISCO LIXA LIXADEIRA 240 MAKITA,"68052000 086182 ARMARINHO 1 UN -40,00","4,89"
55495 - DISCO LIXA LIXADEIRA 320 MAKITA,"68052000 086166 ARMARINHO 1 UN -11,00","4,89"
53240 - DISCO LIXA N 120,"68052000 408368 NORTON 1 MT 100,00","4,09"
"56047 - DISCO LIXA VELCRO 5,0 G040 MAKITA","68052000 086168 ARMARINHO 1 UN 31,00","4,36"
C10,,
"56048 - DISCO LIXA VELCRO 5,0 G060 MAKITA","68052000 086170 ARMARINHO 1 UN 32,00","4,36"
C10,,
"56049 - DISCO LIXA VELCRO 5,0 G080 MAKITA","68052000 086171 ARMARINHO 1 UN 27,00","4,36"
C10,,
"56273 - DISCO LIXA VELCRO 5,0 G100 MAKITA","68052000 086176 ARMARINHO 1 UN 7,00","4,36"
"56274 - DISCO LIXA VELCRO 5,0 G120 MAKITA","68052000 086177 ARMARINHO 1 UN 6,00","4,36"
"56050 - DISCO LIXA VELCRO 5,0 G150 MAKITA","68052000 086178 ARMARINHO 1 UN 35,00","4,36"
C10,,
"56051 - DISCO LIXA VELCRO 5,0 G180 MAKITA","68052000 086180 ARMARINHO 1 UN 38,00","4,36"
C10,,
"56052 - DISCO LIXA VELCRO 5,0 G240 MAKITA","68052000 086182 ARMARINHO 1 UN 42,00","4,93"
C10,,
"56398 - DISCO LIXA VELCRO 5,0 G320 MAKITA","68052000 086166 ARMARINHO 1 UN 30,00","4,93"
56451 - DISCO MADEIRA - 110 X 20MM - 24T -,"82029100 SW1130 ORCA DISTR 1 UN 0,00","14,87"
PARAMAX,,
55674 - DISCO MADEIRA 24 DENTES - MELFI,"82033000 2055.010.001 NEGRAO 1 UN 70,00","17,07"
42358 - DISCO MADEIRA 24 DT - TRADEST,"82023100 27458 ORMEL 1 UN -3,00","18,58"
21814 - DISCO MADEIRA 24D - IRWIN,"82023900 1863652 IRWIN 1 UN 2,00","48,94"
50229 - DISCO MADEIRA 24D 7X180MM - MOTA,"82023100 SC724/P TAMBASA AT 1 UN 1,00","53,84"
56602 - DISCO MADEIRA 7.1/4 X 48D,"82023100 38785 CORTAG 1 UN 6,00","86,34"
52702 - DISCO MADEIRA TUGSTENIO - TYROLIT,"68042190 022746 ARMARINHO 1 UN -3,00","48,95"
"2089 - DISCO MET/INOX 115X1,0X22,23MM","68042211 IW401451 IRWIN 1 UN 50,00","4,26"
49581 - DISCO POLIMENTO BOINA N5 - COMPEL,"96039000 93649 MARTINS 1 UN 2,00","16,62"
53354 - DISCO POLIMENTO BOINA N8 - COMPEL,"96039000 93650 ORMEL 1 UN 10,00","30,36"
56592 - DISCO PORCELANATO - PARAMAX,"68042119 2060.002.000 ORCA DISTR 1 UN 7,00","47,14"
52786 - DISCO SERRA CIRC 250X30X36,"82023100 13832 REI DA FER 1 UN -1,00","126,47"
VONDER,,
55722 - DISCO SERRA VIDEA  235MM X 24D X 25,"82023900 39421 TOMPSON 1 UN 5,00","70,37"
